date,card_number,event
2017-03-25,900162674,card_swipe
2017-03-03,900167908,card_swipe
2017-08-08,900166316,card_swipe
2017-02-18,900163266,card_swipe
2017-05-24,900160688,card_swipe
2017-08-07,900165919,card_swipe
2017-03-03,900161464,card_swipe
2017-06-08,900167857,card_swipe
2017-12-17,900167322,card_swipe
2017-08-06,900160532,card_swipe
2017-09-19,900169338,card_swipe
2017-10-03,900169385,card_swipe
2017-10-26,900164972,card_swipe
2017-09-20,900164903,card_swipe
2017-03-27,900164564,card_swipe
2017-02-25,900160737,card_swipe
2017-09-11,900160934,card_swipe
2017-10-06,900163243,card_swipe
2017-02-19,900163074,card_swipe
2017-11-10,900166801,card_swipe
2017-09-24,900162748,card_swipe
2017-05-04,900162674,card_swipe
2017-08-28,900160965,card_swipe
2017-11-01,900165924,card_swipe
2017-11-09,900169028,card_swipe
2017-06-23,900168004,card_swipe
2017-08-21,900166863,card_swipe
2017-04-16,900169446,card_swipe
2017-10-26,900164208,card_swipe
2017-10-02,900166930,card_swipe
2017-04-25,900160091,card_swipe
2017-03-24,900163447,card_swipe
2017-09-19,900167555,card_swipe
2017-11-28,900161213,card_swipe
2017-06-22,900169707,card_swipe
2017-01-22,900161518,card_swipe
2017-09-14,900167022,card_swipe
2017-04-24,900166032,card_swipe
2017-10-10,900160570,card_swipe
2017-02-08,900161785,card_swipe
2017-04-26,900161804,card_swipe
2017-03-15,900167600,card_swipe
2017-03-03,900160688,card_swipe
2017-10-03,900168940,card_swipe
2017-09-21,900169499,card_swipe
2017-02-07,900167024,card_swipe
2017-02-24,900167857,card_swipe
2017-09-06,900160965,card_swipe
2017-11-13,900160091,card_swipe
2017-11-15,900168743,card_swipe
2017-03-13,900168638,card_swipe
2017-09-03,900169278,card_swipe
2017-05-19,900160598,card_swipe
2017-06-21,900168190,card_swipe
2017-09-04,900167908,card_swipe
2017-07-01,900167555,card_swipe
2017-03-22,900169927,card_swipe
2017-05-22,900168178,card_swipe
2017-03-23,900168190,card_swipe
2017-10-23,900169051,card_swipe
2017-03-01,900169775,card_swipe
2017-05-12,900161141,card_swipe
2017-05-13,900166032,card_swipe
2017-08-16,900164568,card_swipe
2017-04-12,900165425,card_swipe
2017-02-10,900160091,card_swipe
2017-04-23,900167857,card_swipe
2017-09-23,900167277,card_swipe
2017-04-05,900168638,card_swipe
2017-03-08,900161588,card_swipe
2017-06-02,900163756,card_swipe
2017-12-06,900169326,card_swipe
2017-06-13,900160878,card_swipe
2017-04-16,900160012,card_swipe
2017-09-22,900168513,card_swipe
2017-05-27,900162491,card_swipe
2017-10-03,900161518,card_swipe
2017-08-17,900164790,card_swipe
2017-06-05,900160605,card_swipe
2017-02-26,900169504,card_swipe
2017-02-16,900168145,card_swipe
2017-02-25,900164536,card_swipe
2017-12-04,900168178,card_swipe
2017-06-08,900160570,card_swipe
2017-05-18,900165241,card_swipe
2017-04-21,900164790,card_swipe
2017-10-06,900163956,card_swipe
2017-05-09,900161785,card_swipe
2017-10-12,900160532,card_swipe
2017-05-06,900168064,card_swipe
2017-05-18,900160678,card_swipe
2017-11-23,900167959,card_swipe
2017-08-02,900160730,card_swipe
2017-07-21,900164931,card_swipe
2017-01-03,900168743,card_swipe
2017-04-02,900169927,card_swipe
2017-08-06,900163447,card_swipe
2017-07-28,900160532,card_swipe
2017-03-19,900165924,card_swipe
2017-11-09,900168712,card_swipe
2017-07-03,900161299,card_swipe
2017-07-16,900169499,card_swipe
2017-10-02,900167959,card_swipe
2017-03-16,900163189,card_swipe
2017-09-26,900166267,card_swipe
