date,card_number,event
2017-12-20,900166841,website_access
2017-02-15,900165219,start_session
2017-04-10,900168990,journal_access
2017-11-15,900165997,journal_access
2017-10-17,900168491,website_access
2017-09-25,900169405,website_access
2017-05-02,900167706,website_access
2017-05-27,900165883,start_session
2017-09-19,900162158,journal_access
2017-12-12,900166035,start_session
2017-02-10,900167155,website_access
2017-12-10,900164999,website_access
2017-12-07,900166953,start_session
2017-07-14,900169075,website_access
2017-05-05,900166454,website_access
2017-07-15,900166454,journal_access
2017-07-06,900165841,journal_access
2017-04-13,900166863,website_access
2017-06-10,900169006,journal_access
2017-02-17,900166168,website_access
2017-11-24,900163437,website_access
2017-12-20,900168307,website_access
2017-01-17,900163244,start_session
2017-10-15,900163635,start_session
2017-04-16,900169817,website_access
2017-05-25,900164184,start_session
2017-12-21,900160212,journal_access
2017-03-10,900161946,start_session
2017-01-13,900161561,start_session
2017-03-08,900161828,website_access
2017-01-01,900167565,start_session
2017-03-18,900164070,website_access
2017-11-06,900169134,start_session
2017-09-20,900165166,website_access
2017-09-05,900161205,website_access
2017-10-26,900168712,website_access
2017-06-09,900163684,website_access
2017-02-21,900169037,website_access
2017-08-25,900162940,start_session
2017-07-24,900161205,start_session
2017-03-21,900167868,website_access
2017-01-21,900161043,journal_access
2017-11-20,900168461,journal_access
2017-03-18,900166450,journal_access
2017-10-25,900168778,website_access
2017-06-24,900168882,start_session
2017-05-06,900163592,journal_access
2017-04-11,900163324,website_access
2017-03-03,900162168,journal_access
2017-02-05,900163684,website_access
2017-06-03,900163667,website_access
2017-06-22,900167367,journal_access
2017-01-09,900167702,website_access
2017-10-17,900168416,website_access
2017-04-15,900165622,website_access
2017-03-20,900164221,start_session
2017-01-24,900160258,website_access
2017-04-09,900161585,journal_access
2017-07-12,900166454,start_session
2017-11-03,900162159,website_access
2017-07-23,900163667,start_session
2017-06-14,900161086,start_session
2017-12-27,900166095,journal_access
2017-06-27,900163931,start_session
2017-09-10,900168656,journal_access
2017-06-17,900167099,start_session
2017-07-19,900165726,start_session
2017-06-13,900161873,journal_access
2017-11-09,900161096,start_session
2017-07-25,900168329,website_access
2017-02-23,900160731,start_session
2017-06-27,900166095,start_session
2017-09-17,900169174,journal_access
2017-07-27,900165622,journal_access
2017-02-12,900162940,journal_access
2017-11-22,900161712,journal_access
2017-06-13,900161192,journal_access
2017-08-17,900164298,start_session
2017-11-06,900160282,website_access
2017-12-02,900169407,website_access
2017-07-04,900168769,start_session
2017-09-17,900167367,journal_access
2017-11-22,900166450,start_session
2017-11-16,900167099,start_session
2017-08-01,900169701,journal_access
2017-11-23,900168386,start_session
2017-10-26,900167090,journal_access
2017-10-26,900165300,journal_access
2017-10-03,900165622,journal_access
2017-07-19,900166450,start_session
2017-11-03,900161454,journal_access
2017-02-12,900167868,website_access
2017-06-12,900168737,journal_access
2017-10-10,900161586,journal_access
2017-03-21,900165322,journal_access
2017-07-13,900160075,journal_access
2017-05-09,900167090,website_access
2017-10-13,900163757,journal_access
2017-04-22,900164963,start_session
2017-11-05,900168990,website_access
2017-07-25,900161873,start_session
2017-03-09,900167733,website_access
2017-06-18,900166758,start_session
2017-06-18,900167863,journal_access
2017-06-02,900164134,website_access
2017-09-09,900168329,start_session
2017-07-04,900167716,journal_access
2017-09-06,900161096,website_access
2017-04-06,900160097,website_access
2017-06-11,900162845,website_access
2017-10-17,900168390,journal_access
2017-04-20,900163848,start_session
2017-11-05,900168262,journal_access
2017-06-14,900163406,start_session
2017-06-28,900163992,journal_access
2017-04-25,900165766,start_session
2017-04-27,900162662,start_session
2017-02-24,900160998,journal_access
2017-03-06,900164247,website_access
2017-11-15,900164057,start_session
2017-12-11,900168681,journal_access
2017-09-09,900168125,journal_access
2017-08-12,900163992,journal_access
2017-02-28,900165978,website_access
2017-04-20,900168681,website_access
2017-09-10,900167795,website_access
2017-09-11,900167367,journal_access
2017-09-13,900168712,journal_access
2017-09-05,900167246,start_session
2017-05-04,900165438,journal_access
2017-10-23,900167255,journal_access
2017-08-22,900166454,start_session
2017-04-12,900162125,journal_access
2017-01-02,900165666,website_access
2017-03-17,900160833,website_access
2017-08-04,900169980,website_access
2017-09-08,900166388,journal_access
